,vertical_column_troposphere,day
0,2.3095003425812153,2024-03-26
0,2.610646596414132,2024-03-27
0,2.1118056200902195,2024-03-28
0,3.9736148569179246,2024-03-29
0,2.0872069617414417,2024-03-30
0,1.9778294866112063,2024-03-31
0,1.4282361563717818,2024-04-01
0,1.4243014087932195,2024-04-02
0,2.3091386047565363,2024-04-03
0,3.5803352659628747,2024-04-04
0,4.610619002456727,2024-04-05
0,3.506194164717467,2024-04-06
0,2.3916709825507017,2024-04-07
0,3.5519642150186876,2024-04-08
0,3.881184103067956,2024-04-09
0,8.518626971422975,2024-04-10
0,3.528934124167661,2024-04-11
0,2.780502958962565,2024-04-12
0,3.844534454354597,2024-04-13
0,1.901870457596697,2024-04-14
0,2.388556134691576,2024-04-15
0,2.2484366758098306,2024-04-16
0,2.4030681701508834,2024-04-17
0,2.7634992905858096,2024-04-18
0,4.509327650887758,2024-04-19
0,5.381080132194364,2024-04-20
0,2.9542227267643577,2024-04-21
0,2.9940807371929834,2024-04-22
0,3.872004475022813,2024-04-23
0,4.107429746889499,2024-04-24
0,2.553071198257285,2024-04-25
0,2.268021412680284,2024-04-26
0,2.707194447791921,2024-04-27
0,2.6824394924161425,2024-04-28
0,29.700377583161114,2024-04-29
0,2.9362187798928483,2024-04-30
0,3.823196953326764,2024-05-01
0,8.820750525276528,2024-05-02
0,4.083742762988308,2024-05-03
0,3.5755650858638717,2024-05-04
0,3.9696617775046934,2024-05-05
0,1.0344015951238625,2024-05-06
0,0.6069112246355524,2024-05-07
0,1.6892979642163481,2024-05-08
0,1.457828600932307,2024-05-09
0,2.1673451276366142,2024-05-10
0,3.003569842435889,2024-05-11
0,13.651817137350214,2024-05-12
0,6.041371829351578,2024-05-13
0,2.2283298884111953,2024-05-14
0,3.5754382921054817,2024-05-15
0,3.498987896790556,2024-05-16
0,2.861226650023187,2024-05-17
0,5.747216423520006,2024-05-18
0,2.765555314612631,2024-05-19
0,3.645313196743726,2024-05-20
0,2.413663154470081,2024-05-21
0,2.8954730478880384,2024-05-22
0,2.274384905362529,2024-05-23
0,1.6870556836367658,2024-05-24
0,1.4238982280907282,2024-05-25
0,1.6538663962686653,2024-05-26
0,2.419526602515325,2024-05-27
0,33.261336475548745,2024-05-28
0,6.953268468046303,2024-05-29
0,4.434753453927127,2024-05-30
0,8.95683766984422,2024-05-31
0,3.2876580399973263,2024-06-01
0,1.740037391172181,2024-06-02
0,2.785602469088072,2024-06-03
0,1.4095048618091714,2024-06-04
0,3.373088731470128,2024-06-05
0,3.613199297592593,2024-06-06
0,2.4830838484104856,2024-06-07
0,3.386506330559941,2024-06-08
0,2.6806696887505055,2024-06-09
0,3.447290030324589,2024-06-10
0,2.988911723638546,2024-06-11
0,4.783900396755694,2024-06-12
0,5.450926351590969,2024-06-13
0,4.938136483262276,2024-06-14
0,3.525855805890452,2024-06-15
0,4.654640637842209,2024-06-16
0,4.166173108393158,2024-06-17
0,5.655998052823592,2024-06-18
0,3.0593818886609063,2024-06-19
0,3.236271812684536,2024-06-20
0,4.0383609219568735,2024-06-21
0,4.338277388394438,2024-06-22
0,3.9532661193750527,2024-06-23
0,4.511538690270059,2024-06-24
0,4.79031670308233,2024-06-25
0,2.59964429138004,2024-06-26
0,3.3421807426849504,2024-06-27
0,2.2907795577358914,2024-06-28
0,1.7781367568652304,2024-06-29
0,3.6990024790676763,2024-06-30
0,3.6039854272975935,2024-07-01
0,3.5474042933934284,2024-07-02
0,2.746110314010673,2024-07-03
0,1.990125518146951,2024-07-04
0,2.8988808394696006,2024-07-05
